datetime,low,high,open,close,volumefrom,volumeto
2013-08-02,101.21,108.0,104.0,104.5,27503.63,2893759.53
2013-08-03,102.0,105.89,104.5,104.95,8902.32,923169.73
2013-08-04,103.5,106.0,104.95,105.12,6376.74,670427.87
2013-08-05,105.0,107.77,105.12,106.72,15437.85,1647464.84
2013-08-06,105.11,107.5,106.72,106.56,13408.18,1424757.18
2013-08-07,105.22,106.96,106.56,105.99,7720.17,819975.71
2013-08-08,100.96,106.65,105.99,103.05,24015.47,2481342.52
2013-08-09,101.94,105.79,103.05,102.8,12034.99,1238426.09
2013-08-10,102.38,103.9,102.8,103.0,3995.0,411941.84
2013-08-11,102.7,105.19,103.0,105.0,8173.61,853962.41
2013-08-12,103.5,108.12,105.0,106.81,20081.88,2131117.5
2013-08-13,104.5,109.64,106.81,109.6,18749.89,2014623.79
2013-08-14,108.0,115.0,109.6,112.56,50568.55,5689765.67
2013-08-15,108.78,113.32,112.56,109.99,15858.85,1759713.2
2013-08-16,108.21,112.3,109.99,108.99,13542.07,1484874.96
2013-08-17,108.23,114.0,108.99,112.75,12780.32,1430522.61
2013-08-18,112.0,114.69,112.75,113.38,9621.73,1093513.42
2013-08-19,111.77,123.75,113.38,118.5,53066.14,6273089.32
2013-08-20,116.82,123.01,118.5,121.2,24288.46,2926824.42
2013-08-21,119.68,125.0,121.2,123.3,30638.4,3760529.85
2013-08-22,120.54,124.49,123.3,122.0,13958.03,1695452.38
2013-08-23,118.44,122.0,122.0,118.51,19473.86,2324780.73
2013-08-24,118.02,121.39,118.51,119.6,8954.77,1068849.31
2013-08-25,119.14,122.99,119.6,122.11,7441.64,904128.28
2013-08-26,119.92,122.97,122.11,120.07,11443.52,1386290.18
2013-08-27,120.0,133.0,120.07,131.29,53853.02,6882690.55
2013-08-28,128.02,131.72,131.29,128.76,12561.21,1627390.74
2013-08-29,128.18,131.2,128.76,129.3,8217.98,1059179.58
2013-08-30,128.56,142.76,129.3,138.03,46072.51,6269713.01
2013-08-31,135.89,148.7,138.03,141.0,31145.95,4452962.63
2013-09-01,141.0,147.29,141.0,146.01,14096.54,2035993.0
2013-09-02,142.11,148.5,146.01,144.0,10647.89,1546327.08
2013-09-03,142.2,148.91,144.0,144.0,17003.54,2461257.61
2013-09-04,130.09,145.8,144.0,132.51,28753.93,3945752.94
2013-09-05,127.24,137.97,132.51,130.2,27025.08,3561373.61
2013-09-06,121.9,134.0,130.2,121.9,19173.25,2435581.88
2013-09-07,121.25,131.02,121.9,128.99,14191.38,1796862.13
2013-09-08,124.06,129.87,128.99,126.32,7345.15,926689.49
2013-09-09,124.0,137.48,126.32,133.1,29687.51,3908439.46
2013-09-10,131.38,136.02,133.1,132.62,8875.95,1184452.37
2013-09-11,127.5,145.9,132.62,142.1,41557.85,5706218.53
2013-09-12,137.51,145.52,142.1,139.35,20527.39,2886300.08
2013-09-13,137.82,145.6,139.35,140.66,20117.22,2869985.9
2013-09-14,136.5,142.0,140.66,136.71,8897.05,1237692.09
2013-09-15,135.04,141.0,136.71,138.3,6438.98,886151.41
2013-09-16,137.9,142.23,138.3,139.42,10608.8,1480693.41
2013-09-17,138.0,141.37,139.42,139.15,9643.93,1344189.07
2013-09-18,139.01,142.0,139.15,140.41,9491.78,1328386.12
2013-09-19,131.14,141.2,140.41,135.05,21018.0,2862334.4
2013-09-20,131.0,137.28,135.05,133.81,11051.43,1484557.03
2013-09-21,132.0,135.99,133.81,134.38,5085.56,682674.89
2013-09-22,131.0,135.0,134.38,134.0,5892.36,782376.39
2013-09-23,132.0,135.0,134.0,133.4,5998.81,799461.35
2013-09-24,132.5,136.59,133.4,134.78,8575.98,1148734.45
2013-09-25,134.7,138.0,134.78,135.0,9517.07,1293657.92
2013-09-26,134.71,139.0,135.0,137.1,6535.91,886908.93
2013-09-27,134.83,142.66,137.1,138.93,27138.27,3757634.04
2013-09-28,138.02,143.0,138.93,142.5,13659.75,1918884.09
2013-09-29,141.36,145.81,142.5,143.88,18102.2,2611317.7
2013-09-30,138.12,145.81,143.88,141.9,14627.13,2067367.69
